teamName,homeGoals,awayGoals,numWins,numDraws,numDefeats,score
SPAL,22,17,8,13,16,1.6772999999999998
Milan,25,31,17,10,10,3.7990999999999997
Juventus,45,41,29,5,3,4.456800000000002
Roma,31,30,22,8,7,4.1513
Sassuolo,11,18,11,9,17,1.6743000000000001
Bologna,25,15,11,5,21,1.4437000000000004
Sampdoria,36,20,15,6,16,2.7961
Chievo,22,14,9,10,18,1.2171
Lazio,45,44,21,8,8,4.712700000000002
Udinese,24,24,12,4,21,2.6274
Internazionale,37,29,19,12,6,4.3645
Benevento,23,10,6,3,28,2.4661
Cagliari,18,15,11,6,20,1.2008000000000003
Atalanta,30,27,16,12,9,4.196299999999999
Fiorentina,27,27,16,9,12,3.1362999999999994
Torino,29,25,13,14,10,2.706999999999999
Napoli,43,34,27,7,3,5.669899999999998
Crotone,23,17,9,8,20,1.7314000000000003
Hellas Verona,14,16,7,4,26,1.3559
Genoa,23,10,11,7,19,1.9359
